"","precio","quilate","corte","color","claridad","profundidad","tabla","x","y","z"
"1",326,0.23,"Ideal","E","SI2",61.5,55,3.95,3.98,2.43
"2",326,0.21,"Premium","E","SI1",59.8,61,3.89,3.84,2.31
"3",327,0.23,"Bueno","E","VS1",56.9,65,4.05,4.07,2.31
"4",334,0.29,"Premium","I","VS2",62.4,58,4.2,4.23,2.63
"5",335,0.31,"Bueno","J","SI2",63.3,58,4.34,4.35,2.75
"6",336,0.24,"Muy bueno","J","VVS2",62.8,57,3.94,3.96,2.48
"7",336,0.24,"Muy bueno","I","VVS1",62.3,57,3.95,3.98,2.47
"8",337,0.26,"Muy bueno","H","SI1",61.9,55,4.07,4.11,2.53
"9",337,0.22,"Regular","E","VS2",65.1,61,3.87,3.78,2.49
"10",338,0.23,"Muy bueno","H","VS1",59.4,61,4,4.05,2.39
"11",339,0.3,"Bueno","J","SI1",64,55,4.25,4.28,2.73
"12",340,0.23,"Ideal","J","VS1",62.8,56,3.93,3.9,2.46
"13",342,0.22,"Premium","F","SI1",60.4,61,3.88,3.84,2.33
"14",344,0.31,"Ideal","J","SI2",62.2,54,4.35,4.37,2.71
"15",345,0.2,"Premium","E","SI2",60.2,62,3.79,3.75,2.27
"16",345,0.32,"Premium","E","I1",60.9,58,4.38,4.42,2.68
"17",348,0.3,"Ideal","I","SI2",62,54,4.31,4.34,2.68
"18",351,0.3,"Bueno","J","SI1",63.4,54,4.23,4.29,2.7
"19",351,0.3,"Bueno","J","SI1",63.8,56,4.23,4.26,2.71
"20",351,0.3,"Muy bueno","J","SI1",62.7,59,4.21,4.27,2.66
"21",351,0.3,"Bueno","I","SI2",63.3,56,4.26,4.3,2.71
"22",352,0.23,"Muy bueno","E","VS2",63.8,55,3.85,3.92,2.48
"23",353,0.23,"Muy bueno","H","VS1",61,57,3.94,3.96,2.41
"24",353,0.31,"Muy bueno","J","SI1",59.4,62,4.39,4.43,2.62
"25",353,0.31,"Muy bueno","J","SI1",58.1,62,4.44,4.47,2.59
"26",354,0.23,"Muy bueno","G","VVS2",60.4,58,3.97,4.01,2.41
"27",355,0.24,"Premium","I","VS1",62.5,57,3.97,3.94,2.47
"28",357,0.3,"Muy bueno","J","VS2",62.2,57,4.28,4.3,2.67
"29",357,0.23,"Muy bueno","D","VS2",60.5,61,3.96,3.97,2.4
"30",357,0.23,"Muy bueno","F","VS1",60.9,57,3.96,3.99,2.42
